Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J22;03/02/2021;Metz;Montpellier;D;2.69;3.26;3.1;2.56;03.05;2.98
J22;03/02/2021;Reims;Angers;D;2.77;3.15;3.13;2.64;03.03;2.9
J22;03/02/2021;Rennes;Lorient;D;1.67;4.33;6.2;1.61;04.03;5.49
J22;03/02/2021;Strasbourg;Brest;D;2.24;3.55;3.7;2.16;3.35;3.43
J22;03/02/2021;Dijon;Lyon;A;10.27;5.5;1.39;8.62;05.08;1.35
J22;03/02/2021;Lens;Marseille;D;2.56;3.36;3.13;2.45;3.18;03.01
J22;03/02/2021;Monaco;Nice;H;1.56;4.8;7;1.5;4.57;06.06
J22;03/02/2021;Paris SG;Nimes;H;1.1;15;36;01.07;12.25;26.53
J22;03/02/2021;St Etienne;Nantes;D;2.19;3.36;04.05;2.11;3.19;3.78
J23;06/02/2021;Lorient;Reims;H;2.65;3.36;03.06;2.54;3.17;2.9
J23;06/02/2021;Lyon;Strasbourg;H;1.5;05.05;7.25;1.45;4.7;6.62
J23;06/02/2021;Lens;Rennes;D;2.83;3.32;2.78;2.73;3.18;2.69
J23;07/02/2021;Brest;Bordeaux;H;2.68;3.33;3;2.58;3.19;2.86
J23;07/02/2021;Montpellier;Dijon;H;1.82;4;5.2;1.75;3.65;4.83
J23;07/02/2021;Nice;Angers;H;2.84;3.28;2.89;2.73;03.09;2.76
J23;07/02/2021;Nimes;Monaco;A;8.55;5.25;1.43;7.71;4.82;1.4
J23;07/02/2021;St Etienne;Metz;H;2.22;3.38;3.89;2.13;3.2;3.71
J23;07/02/2021;Nantes;Lille;A;4.84;3.73;1.89;4.61;3.5;1.82
J23;07/02/2021;Marseille;Paris SG;A;8;5.5;1.44;7.39;5.16;1.39
J24;13/02/2021;Paris SG;Nice;H;1.23;8;16.5;1.2;7.17;12.48
J24;13/02/2021;Reims;Lens;D;3.2;3.15;2.68;3;2.99;2.59
J24;13/02/2021;Lyon;Montpellier;A;1.43;5.75;8.5;1.37;5.29;7.5
J24;14/02/2021;Monaco;Lorient;D;1.42;5.5;8.25;1.38;05.04;7.61
J24;14/02/2021;Angers;Nantes;A;2.4;3.15;3.77;2.28;03.01;3.53
J24;14/02/2021;Dijon;Nimes;A;2.6;3.62;2.93;2.48;3.39;2.81
J24;14/02/2021;Metz;Strasbourg;A;3.12;3.1;2.74;2.99;2.97;2.61
J24;14/02/2021;Rennes;St Etienne;A;1.99;3.6;4.36;1.93;3.42;4.13
J24;14/02/2021;Lille;Brest;D;1.58;4.5;7;1.52;4.15;6.34
J24;14/02/2021;Bordeaux;Marseille;D;2.76;3.46;2.86;2.62;3.28;2.73
J24;17/02/2021;Marseille;Nice;H;2.38;3.55;3.58;2.29;3.35;3.16
J25;19/02/2021;Brest;Lyon;A;6.65;05.05;1.55;5.82;4.67;1.51
J25;20/02/2021;St Etienne;Reims;D;2.36;3.11;4;2.23;2.99;3.7
J25;20/02/2021;Nantes;Marseille;D;2.98;3.32;2.68;2.87;3.17;2.57
J25;21/02/2021;Montpellier;Rennes;H;3.16;3.56;2.5;2.97;3.32;2.41
J25;21/02/2021;Lens;Dijon;H;1.59;4.29;7.42;1.53;04.04;6.5
J25;21/02/2021;Nice;Metz;A;2.41;3.58;3.28;2.34;3.33;03.08
J25;21/02/2021;Nimes;Bordeaux;H;3.26;3.7;2.35;03.07;3.49;2.27
J25;21/02/2021;Strasbourg;Angers;D;2.36;3.23;3.56;2.28;3.14;3.37
J25;21/02/2021;Lorient;Lille;A;4.54;3.5;1.97;4.23;3.36;1.93
J25;21/02/2021;Paris SG;Monaco;A;1.69;4.59;5.5;1.62;4.32;4.95
J26;24/02/2021;Nimes;Lorient;H;03.01;3.62;2.58;2.86;3.33;2.48
J26;26/02/2021;Rennes;Nice;A;1.88;3.54;5.15;1.84;3.4;4.74
J26;27/02/2021;Bordeaux;Metz;A;2.61;3.2;3.41;2.49;03.03;3.11
J26;27/02/2021;Dijon;Paris SG;A;17;8;1.23;13.55;6.96;1.2
J26;28/02/2021;Monaco;Brest;H;1.52;5.1;6.86;1.45;4.8;6.32
J26;28/02/2021;Angers;Lens;D;03.01;3.2;2.78;2.85;03.02;2.7
J26;28/02/2021;Lorient;St Etienne;H;3.25;3.36;2.51;03.04;3.2;2.43
J26;28/02/2021;Nimes;Nantes;D;3.27;3.48;2.47;03.08;3.32;2.35
J26;28/02/2021;Reims;Montpellier;D;2.98;3.24;2.85;2.81;03.06;2.71
J26;28/02/2021;Lille;Strasbourg;D;1.85;3.79;5.2;1.77;3.55;4.83
J26;28/02/2021;Marseille;Lyon;D;5.2;4.33;1.74;4.71;04.06;1.69
J27;03/03/2021;Brest;Dijon;H;1.76;4.2;5.19;1.7;3.91;4.79
J27;03/03/2021;Lyon;Rennes;H;1.65;4.42;6;1.59;4.12;5.59
J27;03/03/2021;Metz;Angers;A;2.69;3.22;3.17;2.54;03.04;03.03
J27;03/03/2021;Nice;Nimes;H;1.81;04.02;5;1.75;3.84;4.56
J27;03/03/2021;St Etienne;Lens;A;2.86;3.55;2.68;2.77;3.27;2.59
J27;03/03/2021;Bordeaux;Paris SG;A;8;4.8;1.5;7.17;4.52;1.45
J27;03/03/2021;Lille;Marseille;H;1.83;3.74;5.59;1.75;3.54;5.11
J27;03/03/2021;Montpellier;Lorient;D;02.09;3.76;3.92;02.03;3.51;3.63
J27;03/03/2021;Nantes;Reims;A;2.59;03.06;3.4;2.48;2.96;3.21
J27;03/03/2021;Strasbourg;Monaco;H;4.22;3.92;1.92;04.01;3.7;1.88
J28;10/03/2021;Marseille;Rennes;H;3;3.17;2.78;2.86;03.02;2.7
J28;12/03/2021;Reims;Lyon;D;7.72;4.79;1.54;6.94;4.57;1.46
J28;13/03/2021;Angers;St Etienne;A;2.66;3.46;3.15;2.54;3.13;2.97
J28;13/03/2021;Marseille;Brest;H;2.1;3.59;4.4;2;3.34;3.97
J28;14/03/2021;Nimes;Montpellier;D;3.41;3.76;2.2;3.29;3.58;2.15
J28;14/03/2021;Dijon;Bordeaux;A;3.68;3.62;2.16;3.55;3.44;02.08
J28;14/03/2021;Lens;Metz;D;1.97;3.6;4.65;1.9;3.39;4.34
J28;14/03/2021;Lorient;Nice;D;2.63;3.5;2.96;2.54;3.31;2.81
J28;14/03/2021;Rennes;Strasbourg;H;2.28;3.4;3.8;2.17;3.26;3.51
J28;14/03/2021;Monaco;Lille;D;2.53;3.3;3.28;2.43;3.11;3.13
